eqpt_type_id,eqpt_model_id,eqpt_function_id,order_code,serial_number,qty_total,qty_available_for_borrow,qty_borrowed,qty_balance,lab_location,manuf_password,asset_number,has_display,is_available_for_borrow,comments,photo,is_inspected,calibration_expiration,qr_url
IED,650,Feeder,F650MXDF2G1HI6E  HW05,82068501,1,1,0,1,A1.3,,187,,,,,,,
IED,650,Feeder,F650MXDF2G1HI6E,82068502,1,1,0,1,A1.3,,227,,,,,,,
IED,650,Feeder,F650BFDF2G1HI6 HW02,81094205,1,1,0,1,A1.2,,241,,,Defeito na Placa de Rede,,,,
IED,650,Feeder,F650BFBF1G0HI HW02,81094401,1,1,0,1,A1.3,,298,,,,,,,
IED,650,Feeder,F650MAMF2G1HIR6E,82490502,1,1,0,1,A1.2,,NA,,,,,,,
IED,650,Feeder,F650MACF1G1HIR,80132913,1,1,0,1,A1.2,,1605,,,Muito Antigo - Sem Placas,,,,
IED,SR3XX,Feeder,350-EP5G5HEMCW5EDN,BL0A16002600,1,1,0,1,A4.2,,,,,,,,,
IED,8 SERIES,Transformer,RELE 850,NA,1,1,0,1,A1.1,,176,,,Defeito Porta Ethernet,,,,
IED,8 SERIES,Feeder,850-EP5NNS5HNNAANGAPCC2ESWAN,MJ2A14000061,1,1,0,1,A1.1,,294,,,,,,,
IED,8 SERIES,Feeder,850-EP5NNS5HNNAANGAPCC2ESWAN,MJ2A14000062,1,1,0,1,A1.1,,295,,,,,,,
IED,8 SERIES,Transformer,845EP5H5G5HRNALAGAPFM2ESWAN-FA,MJ1A16000237,1,1,0,1,A1.1,,933,,,,,,,
IED,8 SERIES,Generator,889EP5P5G5HRNALAGAPFA2ESWAN-FA,MJ4A16000051,1,1,0,1,A1.1,,936,,,,,,,
IED,P44X,Line,P443318B4M0540K,30073700,1,1,0,1,A9.3,,,,,V,,,,
IED,P74X,Busbar,P74791AB6M0030K,33274627,1,1,0,1,A9.1,,,,,V,,,,
IED,P74X,Busbar,P74791AB6M0030K,33274626,1,1,0,1,A9.2,,,,,V,,,,
IED,P74X,Busbar,P74331JA6M0510K,32007454,1,1,0,1,A9.2,,,,,V - Faltam Placas,,,,
IED,P74X,Busbar,P74131JA6M0510K,32069079,1,1,0,1,A9.3,,,,,V - Faltam Placas,,,,
IED,P40,Feeder,P14DL11D4C6540A,33244655,1,1,0,1,A9.1,,,,,V,,,,
IED,P40,Feeder,P14DG11D4C6500A,32335578,1,1,0,1,A9.1,,,,,V,,,,
IED,P40,Feeder,P94VB11A4B6500A,32664611,1,1,0,1,A9.1,,,,,V,,,,
IED,RA33X,Mesurement and Recording,RA331 PN:P031-B111BX/4,140575,1,1,0,1,A7.2,,,,,,,,,
IED,239,Motor,239-RTD-AN,E6490304,1,1,0,1,A3.2,,97,,,,,,,
IED,239,Motor,239-RTD-AN,E6480954,1,1,0,1,A3.2,,98,,,,,,,
IED,239,Motor,239-RTD-AN,E6490280,1,1,0,1,A3.2,,99,,,,,,,
IED,239,Motor,239-RTD-AN,E6470702,1,1,0,1,A3.2,,100,,,,,,,
IED,269,Motor,269PLUS-100P-HI,E5240614,1,1,0,1,A3.2,,138,,,,,,,
IED,SR3XX,Motor,369-HI-R-0-0-D-0-E,M53C10001447,1,1,0,1,A3.1,,125,,,,,,,
IED,SR3XX,Motor,369-HI-R-0-0-P-H-E,M53C11002748,1,1,0,1,A3.2,,146,,,,,,,
IED,SR3XX,Motor,369-HI-R-0-0-P-H-E,M53C11002746,1,1,0,1,A3.1,,184,,,,,,,
IED,SR3XX,Motor,339EP5G5HRSNP3EDN,ML2A16000328,1,1,0,1,A3.1,,NA,,,,,,,
IED,SR4XX,Generator,489-P5-LO-A20-E,B3280563,1,1,0,1,A1.3,,108,,,,,,,
IED,SR4XX,Motor,469-P5-HI-A20-E,B3071104,1,1,0,1,A3.2,,109,,,,,,,
IED,SR4XX,Generator,489-P1-HI-A20-E,NA,1,1,0,1,A3.2,,168,,,,,,,
IED,SR4XX,Motor,469-P5-HI-A20-E-H,B3001747,1,1,0,1,A1.3,,172,,,,,,,
IED,SR7XX,Feeder,735-5-5-HI-485,NA,1,1,0,1,A3.3,,105,,,,,,,
IED,SR7XX,Feeder,750-P5-G5-S1-HI-A20-R-E-H,,1,1,0,1,A3.3,,171,,,,,,,
IED,SR7XX,Transformer,745-W3-P5-G5-HI-A-R-E,NA,1,1,0,1,A3.3,,173,,,,,,,
IED,D20,Card,D20 SZ - Power Supply 5070103/5170249,D20ASYS-003173,1,1,0,1,A5.1,,204,,,,,,,
IED,D20,Card,D20 SHV2 WESDAC,NA,1,1,0,1,A5.3,,235,,,,,,,
IED,D20,Card,D20 SHV2 WESDAC,NA,1,1,0,1,A5.3,,236,,,,,,,
IED,D20,Card,D20 SZ - Power Supply 5070103/5170249,D20SSYS-008278,1,1,0,1,A5.2,,237,,,,,,,
IED,D20,Gateway,D20 MX CHASSIS - 9533061,D20MX SYS000042,1,1,0,1,A5.4,,381,,,,,,,
IED,D25,Bay Controler,D25,D25G4-001284,1,1,0,1,A5.1,,NA,,,,,,,
IED,D25,Bay Controler,D25,D25SYS-005887,1,1,0,1,A5.2,,NA,,,,,,,
SWITCH,SWITCH,Comunication,ML2400-F-HI-XX-A2-A2-A2-A2-H,MM3A60080025,1,1,0,1,A7.1,,122,,,Testar se funciona - Switch aberto,,,,
SWITCH,SWITCH,Comunication,T100PRN1AAAAAAP,T10000024,1,1,0,1,A7.1,,3581,,,T1000,,,,
IED,BRICK,Merging Unit,BRICK-4-HI-CV50,M84A08000028,1,1,0,1,A7.1,,878,,,Faltam tampas,,,,
IED,BRICK,Merging Unit,BRICK-4-HI-CV10,M84A08000037,1,1,0,1,A7.1,,879,,,,,,,
IED,SPM (MOTOR),Motor,SPM,NA,1,1,0,1,A3.1,,183,,,,,,,
IED,SR7XX,Feeder,750-P5-G5-S1-HI-A20-R-E-H,,1,1,0,1,A3.3,,111,,,,,,,
IED,MU320,Merging Unit,MU320,185899,1,1,0,1,A9.1,,03360,,,V - Patrimônio REASON,,,,
IED,P14X,Feeder,P14DL16A6C0530A,33181666,1,1,0,1,A9.1,,NA,,,V,,,,
IED,P40,Feeder,P94VP11A4B6500A,32361728,1,1,0,1,A9.2,,NA,,,V,,,,
IED,P40,Feeder,P14DL11D4C6540A,33244656,1,1,0,1,A9.1,,NA,,,V,,,,
IED,P40,Feeder,P74391JA6M0510K,33945006,1,1,0,1,A9.1,,NA,,,V,,,,
IED,P44X,Line,P34531JF6M0360K,32056838,1,1,0,1,A9.3,,NA,,,V,,,,
IED,650,Feeder,F650BADF1G1HI6E,82936904,1,1,0,1,A1.3,,NA,,,,,,,
SWITCH,SWITCH,Comunication,S202033PKIHXX04BL,200965,1,1,0,1,A7.1,,NA,,,,,,,
IED,RPV,Processing unit,RPV-311,125798,1,1,0,1,A7.2,,NA,,,,,,,
IED,P40,Feeder,P54681CA6M0760M,33628683,1,1,0,1,A9.4,,NA,,,,,,,
IED,P40,Feeder,P54681GA6M0760M,33628678,1,1,0,1,A9.4,,NA,,,,,,,
IED,UR,Line,D60,AABC16001573,1,1,0,1,A2.1,1371275264,N/A,,,,,,,
IED,UR,Motor,M60N00HKHF8NH6HM8MP6UU5CW5C,A3K12000798,1,1,0,1,A2.2,,,,,,,,,
IED,UR,Bay Controler,C60E00HCHF8FH6TM6UPXXUXXWXX,AA8C04000144,1,1,0,1,A2.3,,165,,,Só Carcaça (Não encontrados módulos),,,,
IED,UR,Transformer,T60,ABHC04000436,1,1,0,1,A2.3,,116,,,Só Carcaça sem frontal,,,,
IED,UR,Line,D90P-HE-AE04UDS-XHXAABCX1X,CXP108000053,1,1,0,1,A4.3,,255,,,,,,,
IED,650,Feeder,F650BADF1G1HI6E,82887901,1,1,0,1,,,,,,,,,,
